id,item_search,title,condition,domain,price,original_price,date_created,date_updated,quantity,link,status
MLA918072516,Google Home,Google Nest Mini Nest Mini 2nd Gen Con Asistente Virtual Google Assistant Chalk 110v/220v,new,MLA-SMART_SPEAKERS,61740.5,64990.0,2021-04-26T19:22:18.000Z,2024-04-25T19:04:58.000Z,1935,https://articulo.mercadolibre.com.ar/MLA-918072516-google-nest-mini-nest-mini-2nd-gen-con-asistente-virtual-google-assistant-chalk-110v220v-_JM,active
MLA1146279904,Google Home,Google Home Mini Con Asistente Virtual Google Assistant Coral 110v/220v,new,MLA-SMART_SPEAKERS,67190.0,99990.0,2022-07-09T21:58:24.000Z,2024-04-25T17:29:52.569Z,1271,https://articulo.mercadolibre.com.ar/MLA-1146279904-google-home-mini-con-asistente-virtual-google-assistant-coral-110v220v-_JM,active
MLA1376911913,Google Home,Google Home Mini Con Asistente Virtual Google Assistant Chalk 110v/220v,new,MLA-SMART_SPEAKERS,128999.0,,2023-07-12T23:49:14.000Z,2024-04-17T17:40:46.000Z,20,https://articulo.mercadolibre.com.ar/MLA-1376911913-google-home-mini-con-asistente-virtual-google-assistant-chalk-110v220v-_JM,active
MLA1389173603,Google Home,"Google Nest Hub Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110v/220v",new,MLA-SMART_SPEAKERS,184992.6,249990.0,2023-09-21T19:15:25.000Z,2024-04-21T02:48:59.188Z,1002,https://articulo.mercadolibre.com.ar/MLA-1389173603-google-nest-hub-con-asistente-virtual-google-assistant-pantalla-integrada-de-7-charcoal-110v220v-_JM,active
MLA1384134643,Google Home,Google Home Mini Versión Bulk/ Sin Caja/ Cargador Original!,new,MLA-SMART_SPEAKERS,58588.0,,2023-08-21T14:52:21.000Z,2024-04-22T00:07:12.000Z,46,https://articulo.mercadolibre.com.ar/MLA-1384134643-google-home-mini-version-bulk-sin-caja-cargador-original-_JM,active
MLA1392974207,Google Home,Google Home Mini Con Asistente Virtual Google Assistant Charcoal 110v/220v,new,MLA-SMART_SPEAKERS,89662.0,,2023-10-20T21:14:47.000Z,2024-04-16T17:42:14.000Z,10,https://articulo.mercadolibre.com.ar/MLA-1392974207-google-home-mini-con-asistente-virtual-google-assistant-charcoal-110v220v-_JM,active
MLA873351413,Google Home,Google Home Mini Asistente Virtual Bulk - Sin Caja - Envío ,new,MLA-SMART_SPEAKERS,56994.0,,2020-08-14T17:08:20.000Z,2024-04-20T17:15:27.000Z,40,https://articulo.mercadolibre.com.ar/MLA-873351413-google-home-mini-asistente-virtual-bulk-sin-caja-envio-_JM,active
MLA1597470910,Google Home,Google Home Mini Con Google Assistant Negro Reacondicionado,new,MLA-SMART_SPEAKERS,45724.88,49999.0,2023-12-13T16:08:36.234Z,2024-04-22T16:12:12.946Z,999,https://articulo.mercadolibre.com.ar/MLA-1597470910-google-home-mini-con-google-assistant-negro-reacondicionado-_JM,active
MLA873646326,Google Home,Google Home Mini Asistente Virtual Bulk - Sin Caja - Oferta!,new,MLA-SMART_SPEAKERS,58585.0,,2020-08-16T15:04:33.000Z,2024-04-12T18:46:29.223Z,28,https://articulo.mercadolibre.com.ar/MLA-873646326-google-home-mini-asistente-virtual-bulk-sin-caja-oferta-_JM,active
MLA1398793543,Google Home,Google Home Mini Con Asistente Virtual Google Assistant Ref,new,MLA-SMART_SPEAKERS,51213.5,55990.0,2023-12-12T20:12:50.000Z,2024-04-15T05:58:02.000Z,999,https://articulo.mercadolibre.com.ar/MLA-1398793543-google-home-mini-con-asistente-virtual-google-assistant-ref-_JM,active
MLA1597574484,Google Home,Parlante Google Home Mini Asistente Virtual Refabricado,new,MLA-SMART_SPEAKERS,45724.88,49999.0,2023-12-13T16:08:37.000Z,2024-04-17T20:35:36.000Z,1002,https://articulo.mercadolibre.com.ar/MLA-1597574484-parlante-google-home-mini-asistente-virtual-refabricado-_JM,active
MLA1125935779,Google Home,Google Home Mini + Chromecast 2nd Generation Netflix Spotify,new,MLA-SMART_SPEAKERS,101190.8,109990.0,2022-03-04T15:56:55.000Z,2024-04-18T11:16:46.000Z,1047,https://articulo.mercadolibre.com.ar/MLA-1125935779-google-home-mini-chromecast-2nd-generation-netflix-spotify-_JM,active
MLA930506223,Google Home,Soporte Montaje Embutido Pared Google Home Hub Mountgenie,new,MLA-SMART_SPEAKERS,17000.0,,2021-07-22T21:07:44.000Z,2024-04-07T17:15:50.000Z,43,https://articulo.mercadolibre.com.ar/MLA-930506223-soporte-montaje-embutido-pared-google-home-hub-mountgenie-_JM,active
MLA873351456,Google Home,Google Home Mini Asistente - Bulk - Sin Caja - Fuente 220v ,new,MLA-SMART_SPEAKERS,58587.0,,2020-08-14T17:09:40.000Z,2024-04-24T13:56:36.000Z,45,https://articulo.mercadolibre.com.ar/MLA-873351456-google-home-mini-asistente-bulk-sin-caja-fuente-220v-_JM,active
MLA1597457958,Google Home,Google Home Mini Con Asistente Virtual  Charcoal Refabricado,new,MLA-SMART_SPEAKERS,49999.0,,2023-12-13T16:08:39.257Z,2024-03-31T03:54:54.500Z,999,https://articulo.mercadolibre.com.ar/MLA-1597457958-google-home-mini-con-asistente-virtual-charcoal-refabricado-_JM,active
MLA1392445767,Google Home,Google Home Mini Asistente Virtual Bulk Sin Caja Original +,new,MLA-SMART_SPEAKERS,88499.0,,2023-10-16T15:35:31.000Z,2024-04-02T19:50:20.000Z,4,https://articulo.mercadolibre.com.ar/MLA-1392445767-google-home-mini-asistente-virtual-bulk-sin-caja-original--_JM,active
MLA1597677282,Google Home,Parlante Google Home Mini Asistente Virtual Wifi Refabricado,new,MLA-SMART_SPEAKERS,63926.14,69990.0,2023-12-13T16:12:34.000Z,2024-04-15T05:42:24.000Z,999,https://articulo.mercadolibre.com.ar/MLA-1597677282-parlante-google-home-mini-asistente-virtual-wifi-refabricado-_JM,active
